feature,coef_y,pval_y,ovr_coeffs,score_ovr,rank
Petal.Length,0.9490346990083887,4.2018731529620556e-76,"{""setosa"": -0.9227653847036494, ""versicolor"": 0.2017544525789339, ""virginica"": 0.7210109321247159}",0.9227653847036494,1
Petal.Width,0.9565473328764029,4.155311015318171e-81,"{""setosa"": -0.8873436966114581, ""versicolor"": 0.11789881283648743, ""virginica"": 0.7694448837749708}",0.8873436966114581,2
Sepal.Length,0.7825612318100813,2.8904783526142316e-32,"{""setosa"": -0.717415668686096, ""versicolor"": 0.07939552384344531, ""virginica"": 0.6380201448426507}",0.717415668686096,3
Sepal.Width,-0.4266575607811243,5.2015632551773874e-08,"{""setosa"": 0.6033478273490609, ""versicolor"": -0.4677030819918079, ""virginica"": -0.13564474535725288}",0.6033478273490609,4
